Date,Visitor,Visitor Goals,Home,Home Goals,Extra,Attendance,Length
2015-10-17,Detroit Red Wings,1,Montreal Canadiens,4,Regular,21288,155
2015-10-17,San Jose Sharks,3,New York Islanders,6,Regular,11577,157
2015-10-17,Nashville Predators,4,Ottawa Senators,3,SO,16895,170
2015-10-17,Toronto Maple Leafs,1,Pittsburgh Penguins,2,Regular,18650,150
2015-10-17,Buffalo Sabres,1,Tampa Bay Lightning,2,Regular,19092,147
2015-10-17,Carolina Hurricanes,1,Washington Capitals,4,Regular,18506,146
2015-10-18,Minnesota Wild,1,Anaheim Ducks,4,Regular,16784,154
2015-10-18,Colorado Avalanche,1,Los Angeles Kings,2,Regular,18230,154
2015-10-18,New Jersey Devils,2,New York Rangers,1,OT,18006,143
2015-10-18,Edmonton Oilers,2,Vancouver Canucks,1,OT,18261,141
2015-10-18,St. Louis Blues,4,Winnipeg Jets,2,Regular,15294,208
2015-10-19,San Jose Sharks,0,New York Rangers,4,Regular,18006,139
2015-10-20,New York Islanders,4,Columbus Blue Jackets,0,Regular,14295,148
2015-10-20,Washington Capitals,6,Calgary Flames,2,Regular,18303,148
2015-10-20,St. Louis Blues,0,Montreal Canadiens,3,Regular,21288,160
2015-10-20,Arizona Coyotes,2,New Jersey Devils,3,OT,12171,152
2015-10-20,Tampa Bay Lightning,4,Nashville Predators,5,SO,17113,163
2015-10-20,Dallas Stars,2,Philadelphia Flyers,1,Regular,19077,155
2015-10-20,Florida Panthers,2,Pittsburgh Penguins,3,OT,18471,165
2015-10-21,Philadelphia Flyers,5,Boston Bruins,4,OT,17565,153
2015-10-21,Toronto Maple Leafs,1,Buffalo Sabres,2,SO,17762,167
2015-10-21,Carolina Hurricanes,1,Colorado Avalanche,0,OT,12826,144
2015-10-21,Detroit Red Wings,1,Edmonton Oilers,3,Regular,16839,145
2015-10-22,Florida Panthers,2,Chicago Blackhawks,3,Regular,21591,154
2015-10-22,Columbus Blue Jackets,2,Minnesota Wild,3,Regular,18650,151
2015-10-22,Anaheim Ducks,1,Nashville Predators,5,Regular,17113,148
2015-10-22,Arizona Coyotes,1,New York Rangers,4,Regular,18006,158
2015-10-22,New Jersey Devils,5,Ottawa Senators,4,SO,16578,161
2015-10-22,Dallas Stars,4,Pittsburgh Penguins,1,Regular,18490,152
2015-10-22,Los Angeles Kings,4,San Jose Sharks,1,Regular,16797,159
2015-10-22,Washington Capitals,3,Vancouver Canucks,2,Regular,18188,137
2015-10-23,Montreal Canadiens,7,Buffalo Sabres,2,Regular,18214,148
2015-10-23,Detroit Red Wings,2,Calgary Flames,3,OT,19158,157
2015-10-23,Washington Capitals,7,Edmonton Oilers,4,Regular,16839,148
2015-10-23,Carolina Hurricanes,0,Los Angeles Kings,3,Regular,18230,151
2015-10-23,Boston Bruins,5,New York Islanders,3,Regular,13113,165
2015-10-23,Tampa Bay Lightning,4,Winnipeg Jets,3,OT,15294,151
2015-10-24,New Jersey Devils,4,Buffalo Sabres,3,Regular,18040,151
2015-10-24,Tampa Bay Lightning,0,Chicago Blackhawks,1,OT,21822,143
2015-10-24,Columbus Blue Jackets,4,Colorado Avalanche,3,Regular,18007,150
2015-10-24,Florida Panthers,6,Dallas Stars,2,Regular,18532,154
2015-10-24,Anaheim Ducks,0,Minnesota Wild,3,Regular,19034,149
2015-10-24,Toronto Maple Leafs,3,Montreal Canadiens,5,Regular,21288,163
2015-10-24,Pittsburgh Penguins,2,Nashville Predators,1,OT,17163,149
2015-10-24,Arizona Coyotes,4,Ottawa Senators,1,Regular,17270,149
2015-10-24,New York Rangers,2,Philadelphia Flyers,3,SO,19805,172
2015-10-24,Carolina Hurricanes,2,San Jose Sharks,5,Regular,15814,144
2015-10-24,New York Islanders,3,St. Louis Blues,2,OT,19186,151
2015-10-24,Detroit Red Wings,3,Vancouver Canucks,2,OT,18312,158
2015-10-25,Los Angeles Kings,3,Edmonton Oilers,2,Regular,16839,147
2015-10-25,Calgary Flames,1,New York Rangers,4,Regular,18006,138
2015-10-25,Minnesota Wild,4,Winnipeg Jets,5,Regular,15294,154
2015-10-26,Anaheim Ducks,0,Chicago Blackhawks,1,OT,21529,156
2015-10-26,Calgary Flames,0,New York Islanders,4,Regular,11582,146
2015-10-26,Arizona Coyotes,4,Toronto Maple Leafs,3,Regular,18944,168
2015-10-27,Arizona Coyotes,0,Boston Bruins,6,Regular,17565,154
2015-10-27,Anaheim Ducks,3,Dallas Stars,4,Regular,17798,152
2015-10-27,Carolina Hurricanes,3,Detroit Red Wings,1,Regular,20027,139
2015-10-27,Colorado Avalanche,1,Florida Panthers,4,Regular,11694,146
2015-10-27,Edmonton Oilers,3,Minnesota Wild,4,Regular,18936,143
2015-10-27,Columbus Blue Jackets,3,New Jersey Devils,1,Regular,12847,137
2015-10-27,Buffalo Sabres,4,Philadelphia Flyers,3,OT,19432,157
2015-10-27,Tampa Bay Lightning,0,St. Louis Blues,2,Regular,19184,144
2015-10-27,Montreal Canadiens,1,Vancouver Canucks,5,Regular,18570,143
2015-10-27,Los Angeles Kings,4,Winnipeg Jets,1,Regular,15294,140
2015-10-28,Calgary Flames,4,Ottawa Senators,5,SO,16923,173
2015-10-28,Nashville Predators,2,San Jose Sharks,1,Regular,15219,144
2015-10-28,Pittsburgh Penguins,3,Washington Capitals,1,Regular,18506,147
2015-10-29,Vancouver Canucks,3,Dallas Stars,4,OT,17664,152
2015-10-29,Montreal Canadiens,3,Edmonton Oilers,4,Regular,16839,157
2015-10-29,Carolina Hurricanes,3,New York Islanders,2,OT,11494,151
2015-10-29,New Jersey Devils,4,Philadelphia Flyers,1,Regular,19241,152
2015-10-29,Buffalo Sabres,3,Pittsburgh Penguins,4,Regular,18415,148
2015-10-29,Anaheim Ducks,1,St. Louis Blues,2,Regular,16904,150
2015-10-29,Colorado Avalanche,2,Tampa Bay Lightning,1,Regular,19092,148
2015-10-29,Chicago Blackhawks,1,Winnipeg Jets,3,Regular,15294,152
2015-10-30,Vancouver Canucks,4,Arizona Coyotes,3,Regular,12166,142
2015-10-30,Philadelphia Flyers,1,Buffalo Sabres,3,Regular,15962,157
2015-10-30,Colorado Avalanche,2,Carolina Hurricanes,3,Regular,9345,142
2015-10-30,Montreal Canadiens,6,Calgary Flames,2,Regular,19289,156
2015-10-30,Ottawa Senators,3,Detroit Red Wings,1,Regular,20027,156
2015-10-30,Boston Bruins,3,Florida Panthers,1,Regular,14112,150
2015-10-30,Chicago Blackhawks,4,Minnesota Wild,5,Regular,19140,163
2015-10-30,Toronto Maple Leafs,1,New York Rangers,3,Regular,18006,150
2015-10-30,Columbus Blue Jackets,1,Washington Capitals,2,Regular,18506,147
2015-10-31,Winnipeg Jets,3,Columbus Blue Jackets,2,Regular,12860,149
2015-10-31,San Jose Sharks,3,Dallas Stars,5,Regular,18178,153
2015-10-31,Calgary Flames,5,Edmonton Oilers,4,Regular,16839,159
2015-10-31,Washington Capitals,2,Florida Panthers,1,OT,11207,154
2015-10-31,Nashville Predators,3,Los Angeles Kings,4,OT,18230,149
2015-10-31,New York Islanders,2,New Jersey Devils,3,SO,11605,150
2015-10-31,Detroit Red Wings,5,Ottawa Senators,3,Regular,16964,160
2015-10-31,Minnesota Wild,2,St. Louis Blues,3,OT,17728,181
2015-10-31,Boston Bruins,3,Tampa Bay Lightning,1,Regular,19092,146
2015-10-31,Pittsburgh Penguins,4,Toronto Maple Leafs,0,Regular,19197,150
2015-11-01,Nashville Predators,2,Anaheim Ducks,4,Regular,16276,152
2015-11-01,Tampa Bay Lightning,4,Carolina Hurricanes,3,Regular,9081,143
2015-11-01,San Jose Sharks,4,Colorado Avalanche,3,Regular,17128,151
2015-11-01,Winnipeg Jets,1,Montreal Canadiens,5,Regular,21288,151
2015-11-01,Buffalo Sabres,2,New York Islanders,1,Regular,11278,138
2015-11-02,Los Angeles Kings,2,Chicago Blackhawks,4,Regular,21534,148
2015-11-02,Dallas Stars,1,Toronto Maple Leafs,4,Regular,19087,171
2015-11-02,Philadelphia Flyers,1,Vancouver Canucks,4,Regular,18264,149
2015-11-03,Dallas Stars,5,Boston Bruins,3,Regular,17565,153
2015-11-03,Calgary Flames,3,Colorado Avalanche,6,Regular,14408,151
2015-11-03,Tampa Bay Lightning,1,Detroit Red Wings,2,Regular,20027,152
2015-11-03,Philadelphia Flyers,2,Edmonton Oilers,4,Regular,16839,148
2015-11-03,Ottawa Senators,2,Montreal Canadiens,1,OT,21288,152
2015-11-03,New Jersey Devils,1,New York Islanders,2,Regular,12122,147
2015-11-03,Washington Capitals,2,New York Rangers,5,Regular,18006,146
2015-11-03,Columbus Blue Jackets,5,San Jose Sharks,2,Regular,15491,150
2015-11-03,Los Angeles Kings,3,St. Louis Blues,0,Regular,17529,155
2015-11-04,Florida Panthers,2,Anaheim Ducks,3,SO,15169,169
2015-11-04,St. Louis Blues,6,Chicago Blackhawks,5,OT,21676,165
2015-11-04,Winnipeg Jets,4,Toronto Maple Leafs,2,Regular,19113,152
2015-11-04,Pittsburgh Penguins,3,Vancouver Canucks,2,Regular,18570,151
2015-11-05,Colorado Avalanche,2,Arizona Coyotes,4,Regular,10270,157
2015-11-05,Tampa Bay Lightning,4,Buffalo Sabres,1,Regular,18161,139
2015-11-05,Philadelphia Flyers,1,Calgary Flames,2,OT,19289,153
2015-11-05,Columbus Blue Jackets,3,Los Angeles Kings,2,Regular,18230,157
2015-11-05,Nashville Predators,3,Minnesota Wild,2,Regular,19024,160
2015-11-05,New York Islanders,1,Montreal Canadiens,4,Regular,21288,144
2015-11-05,Winnipeg Jets,2,Ottawa Senators,3,SO,17195,163
2015-11-05,Florida Panthers,2,San Jose Sharks,5,Regular,15525,149
2015-11-05,Boston Bruins,1,Washington Capitals,4,Regular,18506,155
2015-11-06,Columbus Blue Jackets,2,Anaheim Ducks,4,Regular,17174,146
2015-11-06,Dallas Stars,4,Carolina Hurricanes,1,Regular,10188,152
2015-11-06,New York Rangers,2,Colorado Avalanche,1,Regular,17818,143
2015-11-06,Pittsburgh Penguins,2,Edmonton Oilers,1,Regular,16839,153
2015-11-06,Chicago Blackhawks,2,New Jersey Devils,4,Regular,16514,158
2015-11-06,Detroit Red Wings,2,Toronto Maple Leafs,1,OT,19680,160
2015-11-07,New York Rangers,4,Arizona Coyotes,1,Regular,13029,151
2015-11-07,Vancouver Canucks,2,Buffalo Sabres,3,Regular,19070,146
2015-11-07,Ottawa Senators,2,Carolina Hurricanes,3,OT,10005,153
2015-11-07,Pittsburgh Penguins,2,Calgary Flames,5,Regular,19289,151
2015-11-07,Florida Panthers,1,Los Angeles Kings,4,Regular,18230,152
2015-11-07,Tampa Bay Lightning,0,Minnesota Wild,1,Regular,19066,140
2015-11-07,Boston Bruins,2,Montreal Canadiens,4,Regular,21288,166
2015-11-07,St. Louis Blues,4,Nashville Predators,0,Regular,17143,146
2015-11-07,Anaheim Ducks,1,San Jose Sharks,0,Regular,17562,152
2015-11-07,Philadelphia Flyers,3,Winnipeg Jets,0,Regular,15294,147
2015-11-07,Toronto Maple Leafs,2,Washington Capitals,3,SO,18506,172
2015-11-08,Edmonton Oilers,2,Chicago Blackhawks,4,Regular,21611,153
2015-11-08,Dallas Stars,4,Detroit Red Wings,1,Regular,20027,151
2015-11-08,Vancouver Canucks,3,New Jersey Devils,4,OT,14896,174
2015-11-08,Boston Bruins,2,New York Islanders,1,Regular,13197,150
2015-11-09,Arizona Coyotes,4,Anaheim Ducks,3,OT,13864,150
2015-11-10,Vancouver Canucks,5,Columbus Blue Jackets,3,Regular,14148,147
2015-11-10,Toronto Maple Leafs,3,Dallas Stars,2,Regular,18266,151
2015-11-10,Washington Capitals,0,Detroit Red Wings,1,Regular,20027,141
2015-11-10,Calgary Flames,3,Florida Panthers,4,Regular,11242,144
2015-11-10,Arizona Coyotes,3,Los Angeles Kings,2,Regular,18230,146
2015-11-10,Winnipeg Jets,3,Minnesota Wild,5,Regular,19153,151
2015-11-10,St. Louis Blues,2,New Jersey Devils,0,Regular,13310,138
2015-11-10,Ottawa Senators,5,Nashville Predators,7,Regular,16963,161
2015-11-10,Carolina Hurricanes,0,New York Rangers,3,Regular,18006,147
2015-11-10,Colorado Avalanche,4,Philadelphia Flyers,0,Regular,18587,145
2015-11-10,New York Islanders,4,San Jose Sharks,2,Regular,16558,147
2015-11-10,Buffalo Sabres,4,Tampa Bay Lightning,1,Regular,19092,145
2015-11-11,Edmonton Oilers,4,Anaheim Ducks,3,OT,16505,150
2015-11-11,Montreal Canadiens,3,Pittsburgh Penguins,4,SO,18455,164
2015-11-12,Edmonton Oilers,1,Arizona Coyotes,4,Regular,15545,146
2015-11-12,Colorado Avalanche,3,Boston Bruins,2,Regular,17565,154
2015-11-12,Minnesota Wild,3,Carolina Hurricanes,2,OT,9511,153
2015-11-12,New Jersey Devils,3,Chicago Blackhawks,2,Regular,21568,138
2015-11-12,Winnipeg Jets,3,Dallas Stars,6,Regular,18010,149
2015-11-12,Buffalo Sabres,3,Florida Panthers,2,Regular,11271,152
2015-11-12,New York Islanders,1,Los Angeles Kings,2,Regular,18230,147
2015-11-12,Toronto Maple Leafs,2,Nashville Predators,1,SO,17231,157
2015-11-12,St. Louis Blues,3,New York Rangers,6,Regular,18006,146
2015-11-12,Vancouver Canucks,2,Ottawa Senators,3,Regular,19229,143
2015-11-12,Washington Capitals,5,Philadelphia Flyers,2,Regular,19414,154
2015-11-12,Calgary Flames,1,Tampa Bay Lightning,3,Regular,19092,160
2015-11-13,New York Islanders,4,Anaheim Ducks,1,Regular,17174,148
2015-11-13,San Jose Sharks,3,Detroit Red Wings,2,Regular,20027,137
2015-11-13,Columbus Blue Jackets,2,Pittsburgh Penguins,1,Regular,18610,160
2015-11-13,Calgary Flames,3,Washington Capitals,2,OT,18506,155
2015-11-14,Detroit Red Wings,1,Boston Bruins,3,Regular,17565,144
2015-11-14,San Jose Sharks,2,Buffalo Sabres,1,OT,18611,153
2015-11-14,Philadelphia Flyers,3,Carolina Hurricanes,2,OT,13758,141
2015-11-14,Arizona Coyotes,2,Columbus Blue Jackets,5,Regular,13702,158
2015-11-14,Minnesota Wild,2,Dallas Stars,3,OT,18532,160
2015-11-14,Edmonton Oilers,3,Los Angeles Kings,4,Regular,18230,148
2015-11-14,Colorado Avalanche,6,Montreal Canadiens,1,Regular,21288,143
2015-11-14,Pittsburgh Penguins,0,New Jersey Devils,4,Regular,16514,149
2015-11-14,Winnipeg Jets,0,Nashville Predators,7,Regular,17113,162
2015-11-14,New York Rangers,2,Ottawa Senators,1,SO,19310,153
2015-11-14,Chicago Blackhawks,4,St. Louis Blues,2,Regular,19808,160
2015-11-14,Florida Panthers,5,Tampa Bay Lightning,4,SO,19092,173
2015-11-14,Vancouver Canucks,2,Toronto Maple Leafs,4,Regular,19798,161
2015-11-15,Calgary Flames,1,Chicago Blackhawks,4,Regular,21629,143
2015-11-15,Toronto Maple Leafs,3,New York Rangers,4,Regular,18006,158
2015-11-16,Anaheim Ducks,4,Carolina Hurricanes,1,Regular,9305,142
2015-11-16,Tampa Bay Lightning,0,Florida Panthers,1,Regular,12067,146
2015-11-16,Vancouver Canucks,3,Montreal Canadiens,4,OT,21288,157
2015-11-16,Arizona Coyotes,2,New York Islanders,5,Regular,11841,144
2015-11-16,Detroit Red Wings,4,Ottawa Senators,3,OT,16718,156
2015-11-16,Winnipeg Jets,2,St. Louis Blues,3,Regular,18680,153
2015-11-17,San Jose Sharks,5,Boston Bruins,4,Regular,17565,152
2015-11-17,Dallas Stars,3,Buffalo Sabres,1,Regular,18101,156
2015-11-17,St. Louis Blues,1,Columbus Blue Jackets,3,Regular,12161,147
2015-11-17,New Jersey Devils,2,Calgary Flames,3,Regular,19289,147
2015-11-17,Anaheim Ducks,2,Nashville Predators,3,Regular,17113,150
2015-11-17,Los Angeles Kings,3,Philadelphia Flyers,2,SO,18846,156
2015-11-17,Minnesota Wild,3,Pittsburgh Penguins,4,Regular,18495,163
2015-11-17,Colorado Avalanche,1,Toronto Maple Leafs,5,Regular,19238,145
2015-11-18,Washington Capitals,2,Detroit Red Wings,1,OT,20027,146
2015-11-18,Chicago Blackhawks,4,Edmonton Oilers,3,OT,16839,153
2015-11-18,Vancouver Canucks,1,Winnipeg Jets,4,Regular,15294,153
2015-11-19,Minnesota Wild,2,Boston Bruins,4,Regular,17565,149
2015-11-19,Anaheim Ducks,3,Florida Panthers,1,Regular,10947,150
2015-11-19,Arizona Coyotes,3,Montreal Canadiens,2,Regular,21288,157
2015-11-19,Columbus Blue Jackets,0,Ottawa Senators,3,Regular,16925,157
2015-11-19,San Jose Sharks,1,Philadelphia Flyers,0,OT,18229,157
2015-11-19,Colorado Avalanche,3,Pittsburgh Penguins,4,Regular,18430,149
2015-11-19,Buffalo Sabres,2,St. Louis Blues,3,SO,17359,158
2015-11-19,New York Rangers,1,Tampa Bay Lightning,2,Regular,19092,153
2015-11-19,Dallas Stars,3,Washington Capitals,2,Regular,18506,147
2015-11-20,Toronto Maple Leafs,2,Carolina Hurricanes,1,SO,10327,172
2015-11-20,Nashville Predators,0,Columbus Blue Jackets,4,Regular,13584,144
2015-11-20,Chicago Blackhawks,1,Calgary Flames,2,OT,19289,152
2015-11-20,Los Angeles Kings,2,Detroit Red Wings,3,Regular,20027,148
2015-11-20,New Jersey Devils,1,Edmonton Oilers,5,Regular,16839,142
2015-11-20,Montreal Canadiens,5,New York Islanders,3,Regular,15171,155
2015-11-21,Toronto Maple Leafs,0,Boston Bruins,2,Regular,17565,153
2015-11-21,Buffalo Sabres,0,Dallas Stars,3,Regular,18532,145
2015-11-21,New York Rangers,5,Florida Panthers,4,OT,17866,168
2015-11-21,Nashville Predators,0,Minnesota Wild,4,Regular,19056,153
2015-11-21,Philadelphia Flyers,0,Ottawa Senators,4,Regular,18578,149
2015-11-21,San Jose Sharks,3,Pittsburgh Penguins,1,Regular,18534,149
2015-11-21,Detroit Red Wings,4,St. Louis Blues,3,OT,18098,157
2015-11-21,Anaheim Ducks,0,Tampa Bay Lightning,5,Regular,19092,151
2015-11-21,Chicago Blackhawks,3,Vancouver Canucks,6,Regular,18570,144
2015-11-21,Arizona Coyotes,2,Winnipeg Jets,3,Regular,15294,149
2015-11-21,Colorado Avalanche,3,Washington Capitals,7,Regular,18506,154
2015-11-22,Los Angeles Kings,3,Carolina Hurricanes,4,Regular,10154,153
2015-11-22,San Jose Sharks,5,Columbus Blue Jackets,3,Regular,13397,154
2015-11-22,New York Islanders,2,Montreal Canadiens,4,Regular,21288,148
2015-11-22,New Jersey Devils,3,Vancouver Canucks,2,Regular,18268,155
2015-11-23,St. Louis Blues,2,Buffalo Sabres,1,Regular,17563,148
2015-11-23,Los Angeles Kings,3,Florida Panthers,1,Regular,10997,153
2015-11-23,Nashville Predators,0,New York Rangers,3,Regular,18006,149
2015-11-23,Carolina Hurricanes,2,Philadelphia Flyers,3,OT,18636,153
2015-11-23,Boston Bruins,4,Toronto Maple Leafs,3,SO,19609,178
2015-11-23,Colorado Avalanche,4,Winnipeg Jets,1,Regular,15294,139
2015-11-23,Edmonton Oilers,0,Washington Capitals,1,Regular,18506,141
2015-11-24,Calgary Flames,3,Anaheim Ducks,5,Regular,15688,152
2015-11-24,Ottawa Senators,7,Dallas Stars,4,Regular,18532,151
2015-11-25,Anaheim Ducks,2,Arizona Coyotes,4,Regular,11578,152
2015-11-25,Nashville Predators,3,Buffalo Sabres,2,Regular,17871,144
2015-11-25,Edmonton Oilers,1,Carolina Hurricanes,4,Regular,10911,138
2015-11-25,Ottawa Senators,5,Colorado Avalanche,3,Regular,16570,150
2015-11-25,Boston Bruins,3,Detroit Red Wings,2,OT,20027,144
2015-11-25,Vancouver Canucks,3,Minnesota Wild,2,Regular,18877,146
2015-11-25,Columbus Blue Jackets,2,New Jersey Devils,1,Regular,13567,140
2015-11-25,Philadelphia Flyers,1,New York Islanders,3,Regular,13027,144
2015-11-25,Montreal Canadiens,5,New York Rangers,1,Regular,18006,148
2015-11-25,St. Louis Blues,3,Pittsburgh Penguins,4,OT,18569,146
2015-11-25,Chicago Blackhawks,5,San Jose Sharks,2,Regular,17562,145
2015-11-25,Los Angeles Kings,1,Tampa Bay Lightning,2,SO,19092,166
2015-11-25,Winnipeg Jets,3,Washington Capitals,5,Regular,18506,147
2015-11-27,Chicago Blackhawks,3,Anaheim Ducks,2,OT,17174,163
2015-11-27,Calgary Flames,1,Arizona Coyotes,2,OT,11495,152
2015-11-27,New York Rangers,3,Boston Bruins,4,Regular,17565,153
2015-11-27,Carolina Hurricanes,1,Buffalo Sabres,4,Regular,18052,138
2015-11-27,Pittsburgh Penguins,1,Columbus Blue Jackets,2,OT,18205,163
2015-11-27,Vancouver Canucks,2,Dallas Stars,3,SO,18532,161
2015-11-27,Edmonton Oilers,3,Detroit Red Wings,4,OT,20027,147
2015-11-27,New York Islanders,2,Florida Panthers,3,SO,14598,156
2015-11-27,Winnipeg Jets,3,Minnesota Wild,1,Regular,19055,150
2015-11-27,Montreal Canadiens,3,New Jersey Devils,2,SO,16514,166
2015-11-27,Nashville Predators,2,Philadelphia Flyers,3,OT,19818,161
2015-11-27,Tampa Bay Lightning,2,Washington Capitals,4,Regular,18506,158
2015-11-28,Ottawa Senators,3,Arizona Coyotes,4,Regular,12727,154
2015-11-28,Winnipeg Jets,3,Colorado Avalanche,5,Regular,16311,143
2015-11-28,Chicago Blackhawks,2,Los Angeles Kings,3,OT,18482,149
2015-11-28,Dallas Stars,4,Minnesota Wild,3,OT,19024,156
2015-11-28,New Jersey Devils,3,Montreal Canadiens,2,OT,21288,159
2015-11-28,Buffalo Sabres,4,Nashville Predators,1,Regular,17217,156
2015-11-28,Philadelphia Flyers,3,New York Rangers,0,Regular,18006,139
2015-11-28,Edmonton Oilers,3,Pittsburgh Penguins,2,SO,18656,165
2015-11-28,Calgary Flames,2,San Jose Sharks,5,Regular,17283,141
2015-11-28,Columbus Blue Jackets,1,St. Louis Blues,3,Regular,19227,142
2015-11-28,New York Islanders,3,Tampa Bay Lightning,2,Regular,19092,143
2015-11-28,Washington Capitals,4,Toronto Maple Leafs,2,Regular,19053,145
2015-11-29,Florida Panthers,2,Detroit Red Wings,1,OT,20027,158
2015-11-30,Vancouver Canucks,0,Anaheim Ducks,4,Regular,14006,149
2015-11-30,Colorado Avalanche,3,New York Islanders,5,Regular,11585,146
2015-11-30,Carolina Hurricanes,3,New York Rangers,4,Regular,18006,146
